Frame Number,Vehicle,License Plate,Average Score
106,motorcycle_8.0,29K1-80764,0.6303287347157797
106,motorcycle_10.0,29H2-7837,0.9076128229498863
107,motorcycle_9.0,17B4-12145,0.9017665386199951
107,motorcycle_10.0,29H2-7837,0.9007522389292717
108,motorcycle_10.0,29H2-7837,0.902519978582859
109,motorcycle_9.0,17B4-12145,0.8675520552529229
109,motorcycle_10.0,29H2-7837,0.9073202982544899
110,motorcycle_9.0,17B4-12145,0.8914580543835958
110,motorcycle_10.0,29H2-7837,0.9155002161860466
111,motorcycle_9.0,17B4-12445,0.8997890883021884
111,motorcycle_10.0,29H2-7837,0.9186406582593918
112,motorcycle_9.0,17B4-12145,0.8719282415178087
112,motorcycle_10.0,29H2-7837,0.9087959304451942
113,motorcycle_9.0,17B4-12145,0.8815078602896796
113,motorcycle_10.0,29H2-7837,0.9143832251429558
113,motorcycle_11.0,18L4-0203,0.6538785304874182
114,motorcycle_9.0,17B4-12145,0.8408912685182359
114,motorcycle_10.0,29H9-7857,0.7879501767456532
114,motorcycle_11.0,18L1-0203,0.726370882242918
115,motorcycle_9.0,17B4-12145,0.9002795815467834
115,motorcycle_10.0,29H2-7807,0.9069106355309486
116,motorcycle_9.0,17B4-12145,0.9152873158454895
116,motorcycle_10.0,29H2-7837,0.8961441293358803
116,motorcycle_11.0,18L1-02090,0.727684090534846
117,motorcycle_9.0,17B4-12145,0.8513466020425161
117,motorcycle_10.0,29H2-7837,0.8962522521615028
117,motorcycle_11.0,18L1-02080,0.6141345153252283
118,motorcycle_9.0,17B4-12145,0.8352395428551568
118,motorcycle_10.0,29H9-7857,0.8584088161587715
118,motorcycle_11.0,18L1-02000,0.7485649983088175
119,motorcycle_9.0,17B4-12145,0.9022167325019836
119,motorcycle_10.0,29H2-7807,0.882351391017437
119,motorcycle_11.0,18D1-02080,0.6017666773663627
119,motorcycle_12.0,37D1-7032,0.5916247796267271
120,motorcycle_9.0,17B4-12145,0.8947717282507155
120,motorcycle_10.0,29H9-7807,0.7668216675519943
120,motorcycle_11.0,18L1-02090,0.7347923086749183
120,motorcycle_12.0,37P1-17403,0.7694293591711256
121,motorcycle_9.0,17B4-12145,0.8773208657900492
121,motorcycle_10.0,29H9-7807,0.8163911029696465
121,motorcycle_11.0,18L1-0208,0.7964138016104698
122,motorcycle_9.0,17B4-12145,0.8771107064353095
122,motorcycle_10.0,29H2-78307,0.7579371068212721
123,motorcycle_9.0,17B4-12145,0.865574750635359
123,motorcycle_10.0,29H2-7837,0.8920716270804405
124,motorcycle_10.0,29H2-7837,0.8585491813719273
124,motorcycle_12.0,37P1-17406,0.920248912440406
125,motorcycle_10.0,29H2-7837,0.9021657407283783
125,motorcycle_12.0,37P1-17406,0.9216058055559794
126,motorcycle_9.0,17B4-12145,0.8479873273107741
126,motorcycle_10.0,29H2-78307,0.7572803662882911
126,motorcycle_12.0,37P1-17406,0.9189392328262329
127,motorcycle_10.0,29H2-7837,0.8992290124297142
